type	name	latitude_deg	longitude_deg	icao_code
small_airport	Reykjahlíð Airport	65.6558	-16.9181	BIRL
medium_airport	Siglufjörður Airport	66.137847	-18.908157	BISI
small_airport	Stykkishólmur Airport	65.058851	-22.764616	BIST
small_airport	Þingeyri Airport	65.8703	-23.559999	BITE
small_airport	Þórshöfn Airport	66.218498	-15.3356	BITN
medium_airport	Vestmannaeyjar Airport	63.42430115	-20.27890015	BIVM
small_airport	Vopnafjörður Airport	65.720596	-14.8506	BIVO
medium_airport	Priština Adem Jashari International Airport	42.5728	21.035801	BKPR
medium_airport	Bella Bella (Campbell Island) Airport	52.185001	-128.156994	CBBC
medium_airport	Shaoguan Danxia Airport	24.9786	113.420998	ZGSG
small_airport	Dengkou General Aviation Airport	40.302832	107.010698	ZBMV
small_airport	Lishui Airport	28.3727	119.839	ZSLI
heliport	UNFICYP Nicosia Airport Heliport	35.145962	33.283306	LCNC
small_airport	Arctic Bay Airport	73.006101	-85.04616	CYAB
small_airport	Cat Lake Airport	51.7272	-91.824402	CYAC
small_airport	La Grande-3 Airport	53.57170105	-76.1964035	CYAD
medium_airport	Fort Frances Municipal Airport	48.655749	-93.44349	CYAG
medium_airport	La Grande-4 Airport	53.75469971	-73.6753006	CYAH
small_airport	Alert Bay Airport	50.582199	-126.916	CYAL
medium_airport	Sault Ste Marie Airport	46.483216	-84.508467	CYAM
medium_airport	Kasabonika Airport	53.52470016	-88.64279938	CYAQ
small_airport	Kangirsuk Airport	60.027199	-69.999199	CYAS
small_airport	Attawapiskat Airport	52.927502	-82.4319	CYAT
medium_airport	St. Anthony Airport	51.391909	-56.08321	CYAY
medium_airport	Tofino / Long Beach Airport	49.079833	-125.775583	CYAZ
small_airport	Banff Airport	51.208222	-115.540624	CYBA
small_airport	Kugaaruk Airport	68.535711	-89.805508	CYBB
medium_airport	Baie-Comeau Airport	49.1325	-68.204399	CYBC
medium_airport	Bella Coola Airport	52.387501	-126.596001	CYBD
small_airport	Uranium City Airport	59.561401	-108.481003	CYBE
medium_airport	Bonnyville Airport	54.304199	-110.744003	CYBF
medium_airport	CFB Bagotville / Saguenay-Bagotville Airport	48.331908	-70.992909	CYBG
medium_airport	Baker Lake Airport	64.29889679	-96.07779694	CYBK
medium_airport	Campbell River Airport	49.950802	-125.271004	CYBL
small_airport	Tadoule Lake Airport	58.706308	-98.511057	CYBQ
medium_airport	Brandon Municipal Airport	49.91	-99.951897	CYBR
small_airport	Brochet Airport	57.8894	-101.679001	CYBT
small_airport	Berens River Airport	52.358898	-97.018303	CYBV
medium_airport	Lourdes-de-Blanc-Sablon Airport	51.4436	-57.185299	CYBX
small_airport	Cartwright Airport	53.682501	-57.042303	CYCA
medium_airport	Cambridge Bay Airport	69.10810089	-105.1380005	CYCB
medium_airport	Cornwall Regional Airport	45.092637	-74.567724	CYCC
medium_airport	Nanaimo Airport	49.05497	-123.869863	CYCD
medium_airport	Centralia / James T. Field Memorial Aerodrome	43.285599	-81.508301	CYCE
medium_airport	Castlegar/West Kootenay Regional Airport	49.296398	-117.632004	CYCG
medium_airport	Miramichi Airport	47.007801	-65.449203	CYCH
small_airport	Chatham Kent Airport	42.3064003	-82.08190155	CYCK
medium_airport	Charlo Airport	47.990799	-66.330299	CYCL
medium_airport	Cochrane Airport	49.10559845	-81.01360321	CYCN
small_airport	Kugluktuk Airport	67.816408	-115.14307	CYCO
medium_airport	Chetwynd Airport	55.68719864	-121.6269989	CYCQ
small_airport	Cross Lake (Charlie Sinclair Memorial) Airport	54.609758	-97.762442	CYCR
small_airport	Chesterfield Inlet Airport	63.346901	-90.731102	CYCS
small_airport	Coronation Airport	52.07500076	-111.4449997	CYCT
small_airport	Chilliwack Airport	49.153157	-121.939309	CYCW
small_airport	Clyde River Airport	70.486099	-68.516701	CYCY
small_airport	Fairmont Hot Springs Airport	50.331052	-115.873739	CYCZ
medium_airport	Dawson City Airport	64.04309845	-139.128006	CYDA
medium_airport	Burwash Airport	61.371101	-139.041	CYDB
medium_airport	Deer Lake Airport	49.2108	-57.391399	CYDF
small_airport	Dease Lake Airport	58.422199	-130.031998	CYDL
medium_airport	Ross River Airport	61.97060013	-132.4230042	CYDM
medium_airport	Dauphin Barker Airport	51.1008	-100.052002	CYDN
medium_airport	Dolbeau-Saint-Felicien Airport	48.7785	-72.375	CYDO
small_airport	Nain Airport	56.550778	-61.682224	CYDP
medium_airport	Dawson Creek Airport	55.741245	-120.183263	CYDQ
large_airport	Edmonton International Airport	53.3097	-113.580002	CYEG
small_airport	Arviat Airport	61.0942	-94.070801	CYEK
medium_airport	Elliot Lake Municipal Airport	46.35139847	-82.56140137	CYEL
medium_airport	Manitoulin East Municipal Airport	45.842435	-81.857595	CYEM
medium_airport	Estevan Airport	49.21030045	-102.9660034	CYEN
small_airport	Fort Severn Airport	56.018902	-87.676102	CYER
medium_airport	Edson Airport	53.57889938	-116.4649963	CYET
small_airport	Eureka Airport	79.99469757	-85.81420136	CYEU
medium_airport	Inuvik Mike Zubko Airport	68.30419922	-133.4830017	CYEV
medium_airport	Amos/Magny Airport	48.563903	-78.249702	CYEY
small_airport	Fort Albany Airport	52.203451	-81.695194	CYFA
medium_airport	Iqaluit Airport	63.756402	-68.555801	CYFB
medium_airport	Fredericton Airport	45.8689003	-66.53720093	CYFC
medium_airport	Forestville Airport	48.74610138	-69.09719849	CYFE
small_airport	Fort Hope Airport	51.561901	-87.907799	CYFH
medium_airport	Mont-Tremblant International Airport	46.409401	-74.779999	CYFJ
small_airport	Flin Flon Airport	54.678101	-101.681999	CYFO
